typeID,name,type,url,image
CSRA1258554,IBM DevOps and Software Engineering Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/devops-and-software-engineering,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~devops-and-software-engineering/XDP~SPECIALIZATION!~devops-and-software-engineering.jpeg
CSRA4478522,Google IT Support Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/google-it-support,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-it-support/XDP~SPECIALIZATION!~google-it-support.jpeg
CSRA6623211,Crash Course on Python,course,https://www.coursera.org/learn/python-crash-course,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~python-crash-course/XDP~COURSE!~python-crash-course.jpeg
CSRA5141159,Google IT Automation with Python Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/google-it-automation,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-it-automation/XDP~SPECIALIZATION!~google-it-automation.jpeg
CSRA3196315,Technical Support Fundamentals,course,https://www.coursera.org/learn/technical-support-fundamentals,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~technical-support-fundamentals/XDP~COURSE!~technical-support-fundamentals.jpeg
CSRA8741762,Google IT Support Professional Certificate,professional certificates,https://www.coursera.org/professional-certificates/google-it-support,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-it-support/XDP~SPECIALIZATION!~google-it-support.jpeg
CSRA7836235,Enterprise System Management and Security,course,https://www.coursera.org/learn/enterprise-system-management-security,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~enterprise-system-management-security/XDP~COURSE!~enterprise-system-management-security.jpeg
CSRA5597842,Customer Service Fundamentals,course,https://www.coursera.org/learn/customer-service-fundamentals,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~customer-service-fundamentals/XDP~COURSE!~customer-service-fundamentals.jpeg
CSRA5943615,Using Python to Interact with the Operating System,course,https://www.coursera.org/learn/python-operating-system,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~python-operating-system/XDP~COURSE!~python-operating-system.jpeg
CSRA3337312,Information​ ​Systems Specialization,specializations,https://www.coursera.org/specializations/information-systems,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~information-systems/XDP~SPECIALIZATION!~information-systems.jpeg
CSRA3328153,The Data Scientist’s Toolbox,course,https://www.coursera.org/learn/data-scientists-tools,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~data-scientists-tools/XDP~COURSE!~data-scientists-tools.jpeg
CSRA1241712,Natural Language Processing Specialization,specializations,https://www.coursera.org/specializations/natural-language-processing,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~natural-language-processing/XDP~SPECIALIZATION!~natural-language-processing.jpeg
CSRA8657974,Analyze Network Traffic with TCPDump,guided project,https://www.coursera.org/projects/analyze-network-traffic-with-tcpdump,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~analyze-network-traffic-with-tcpdump/XDP~COURSE!~analyze-network-traffic-with-tcpdump.jpeg
CSRA9334114,Configurer un pare-feu avec UFW sous Linux,guided project,https://www.coursera.org/projects/configurer-pare-feu-firewall-ufw-ubuntu-linux,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~configurer-pare-feu-firewall-ufw-ubuntu-linux/XDP~COURSE!~configurer-pare-feu-firewall-ufw-ubuntu-linux.jpeg
CSRA4849823,مقدمة عن شبكات الحاسوب وأجهزة سيسكو (Cisco),guided project,https://www.coursera.org/projects/muqadimat-ean-shabakat-alhasub-sisku-cisco-,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~muqadimat-ean-shabakat-alhasub-sisku-cisco-/XDP~COURSE!~muqadimat-ean-shabakat-alhasub-sisku-cisco-.jpeg
CSRA5228745,البدء باستخدام برنامج packet tracer,guided project,https://www.coursera.org/projects/albad-biastikhdam-barnamaj-packet-tracer,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~albad-biastikhdam-barnamaj-packet-tracer/XDP~COURSE!~albad-biastikhdam-barnamaj-packet-tracer.jpeg
